Ingredients,Potential Allergies,Potential Diseases,Halal/Haram
Field Bean Brown,Legume Allergy,Gout,Halal
Field Bean White,Legume Allergy,Gout,Halal
Green Gram Dal,Legume Allergy,No Potential Diseases Detected,Halal
Green Gram Whole,Legume Allergy,No Potential Diseases Detected,Halal
Horse Gram Whole,Legume Allergy,No Potential Diseases Detected,Halal
Lentil Dal,Legume Allergy,No Potential Diseases Detected,Halal
Lentil Whole Brown,Legume Allergy,No Potential Diseases Detected,Halal
Lentil Whole Yellowish,Legume Allergy,No Potential Diseases Detected,Halal
Moth Bean,Legume Allergy,Gout,Halal
Peas Dry,Legume Allergy,No Potential Diseases Detected,Halal
Rajmah Black,Legume Allergy,No Potential Diseases Detected,Halal
Rajmah Brown,Legume Allergy,No Potential Diseases Detected,Halal
Rajmah Red,Legume Allergy,No Potential Diseases Detected,Halal
Red Gram Dal,Legume Allergy,No Potential Diseases Detected,Halal
Red Gram Whole,Legume Allergy,No Potential Diseases Detected,Halal
Ricebean,Legume Allergy,No Potential Diseases Detected,Halal
Soya Bean Brown,No Potential Allergies Detected,Gout,Halal
Soya Bean White,No Potential Allergies Detected,Gout,Halal
Agathi Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth Leaves Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth Leaves Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth Leaves Red And Green Mix,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth SpiNous Leaves Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Amaranth SpiNous Leaves Red And Green Mix,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Basella Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bathua Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Beet Greens,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Betel Leaves Big,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Betel Leaves Small,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Brussels Sprouts,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cabbage Chinese,No Potential Allergies Detected,Gout,Halal
Cabbage Collard Greens,No Potential Allergies Detected,Gout,Halal
Cabbage Green,No Potential Allergies Detected,Gout,Halal
Cabbage Violet,No Potential Allergies Detected,Gout,Halal
Cauliflower Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Colocasia Leaves Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Drumstick Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Fenugreek Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garden Cress,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Gogu Leaves Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Gogu Leaves Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Knol-Khol Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lettuce,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mustard Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pak Choi Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Parsley,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ponnaganni,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pumpkin Leaves Tender,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radish Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rumex Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Spinach,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tamarind Leaves Tender,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ash Gourd,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bamboo Shoot Tender,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bean Scarlet Tender,Legume Allergy,No Potential Diseases Detected,Halal
Bitter Gourd Jagged Teeth Ridges Elongate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bitter Gourd Jagged Teeth Ridges Short,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bitter Gourd Jagged Smooth Ridges Elongate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bottle Gourd Elongate Pale Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bottle Gourd Round Pale Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bottle Gourd Elongate Dark Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Brinjal - All Varieties,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Broad Beans,Legume Allergy,No Potential Diseases Detected,Halal
Capsicum Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Capsicum Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Capsicum Yellow,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cauliflower,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Celery Stalk,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cho-Cho-Marrow,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cluster Beans,Legume Allergy,No Potential Diseases Detected,Halal
Colocasia Stem Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Colocasia Stem Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Corn Baby,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cucumber Green Elongate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cucumber Green Short,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cucumber Orange Round,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Drumstick,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Field Beans Tender Broad,Legume Allergy,No Potential Diseases Detected,Halal
Field Beans Tender Lean,Legume Allergy,No Potential Diseases Detected,Halal
French Beans Country,No Potential Allergies Detected,No Potential Diseases Detected,Halal
French Beans Hybrid,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jack Fruit Raw,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jack Fruit Seed Mature,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Knol - Khol,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ladies Finger,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Green Raw,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Onion Stalk,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Papaya Raw,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Parwar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Peas Fresh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Plantain Flower,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Plantain Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Plantain Stem,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pumpkin Green Cylindrical,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pumpkin Orange Round,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Red Gram Tender Fresh,Legume Allergy,No Potential Diseases Detected,Halal
Ridge Gourd,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ridge Gourd Smooth Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Snake Gourd Long Pale Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Snake Gourd Long Dark Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Snake Gourd Short,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tinda Tender,No Potential Allergies Detected,No Potential Diseases Detected,Haram
Tomato Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tomato Ripe Hybrid,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tomato Ripe Local,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Zucchini Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Zucchini Yellow,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Big,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Small,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Small Kashmir,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apricot Dried,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bael Fruit,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Banana Ripe Montham,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Banana Ripe Poovam,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Banana Ripe Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Banana Ripe Robusta,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Black Berry,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cherries Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Currants Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Custard Apple,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Dates Dry Pale Brown,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Dates Dry Dark Brown,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Dates Processed,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Fig,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Goosberry,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seeded Round Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seeded Round Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seeded Round Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seedless Oval Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seedless Round Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Grapes Seedless Round Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Guava White Flesh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Guava Pink Flesh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jambu Fruit Ripe,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Karonda Fruit,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lemon Juice,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lime Sweet Pulp,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Litchi,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Banganapalli,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Gulabkhas,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Himsagar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Kesar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Neelam,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Paheri,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ripe Totapari,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mangosteen,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Manila Tamarind,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Musk Melon Orange Flesh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Musk Melon Yellow Flesh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Orange Pulp,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Palm Fruit Tender,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Papaya Ripe,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Peach,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pear,No Potential Allergies Detected,Diabetes,Halal
Phalsa,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pineapple,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pomegranate Maroon Seeds,No Potential Allergies Detected,Hypertension,Halal
Pummelo,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Raisins Dried Black,No Potential Allergies Detected,Diabetes,Halal
Raisins Dried Golden,No Potential Allergies Detected,Diabetes,Halal
Rambutan,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sapota,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Soursop,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Star Fruit,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Strawberry,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tamarind Pulp,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Water Melon Dark Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Water Melon Pale Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Wood Apple,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Zizyphus,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Beet Root,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Carrot Orange,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Carrot Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Colocasia,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lotus Root,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potato Brown Skin Big,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potato Brown Skin Small,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potato Red Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radish Elongate Red Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radish Elongate White Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radish Round Red Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Radish Round White Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sweet Potato Brown Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sweet Potato Pink Skin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tapioca,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Water Chestnut,No Potential Allergies Detected,Gout,Halal
Yam Elephant,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Yam Ordinary,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Yam Wild,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chillies Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Coriander Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Curry Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garlic Big Clove,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garlic Small Clove,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garlic Single Clove Kashmir,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ginger Fresh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mango Ginger,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mint Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Onion Big,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Onion Small,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Asafoetida,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cardamom Green,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cardamom Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chillies Red,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cloves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Coriander Seeds,No Potential Allergies Detected,Gout,Halal
Cumin Seeds,No Potential Allergies Detected,Gout,Halal
Fenugreek Seeds,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mace,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Nutmeg,No Potential Allergies Detected,Gout,Halal
Omum,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pippali,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pepper Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Poppy Seeds,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Turmeric Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Almond,No Potential Allergies Detected,Gout,Halal
Arecanut Dried Brown,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Arecanut Dried Red Color,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Arecanut Fresh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cashew Nut,No Potential Allergies Detected,Gout,Halal
Coconut Kernal Dry,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Coconut Kernel Fresh,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garden Cress Seeds,No Potential Allergies Detected,Gout,Halal
Gingelly Seeds Black,No Potential Allergies Detected,Gout,Halal
Gingelly Seeds Brown,No Potential Allergies Detected,Gout,Halal
Gingelly Seeds White,No Potential Allergies Detected,Gout,Halal
Ground Nut,No Potential Allergies Detected,Gout,Halal
Mustard Seeds,No Potential Allergies Detected,Gout,Halal
Linseeds,No Potential Allergies Detected,Gout,Halal
Niger Seeds Black,No Potential Allergies Detected,Gout,Halal
Niger Seeds Gray,No Potential Allergies Detected,Gout,Halal
Pine Seed,No Potential Allergies Detected,Gout,Halal
Pistachio Nuts,No Potential Allergies Detected,Gout,Halal
Safflower Seeds,No Potential Allergies Detected,Gout,Halal
Sunflower Seeds,No Potential Allergies Detected,Gout,Halal
Walnut,No Potential Allergies Detected,Gout,Halal
Jaggery Cane,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sugarcane Juice,No Potential Allergies Detected,Diabetes,Halal
Button Mushroom Fresh,No Potential Allergies Detected,Gout,Halal
Chicken Mushroom Fresh,No Potential Allergies Detected,Gout,Halal
Shiitake Mushroom Fresh,No Potential Allergies Detected,Gout,Halal
Oyster Mushroom Dried,Seafood Allergy,Gout,Halal
Toddy,No Potential Allergies Detected,No Potential Diseases Detected,Haram
Coconut Water,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Milk Whole Buffalo,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Milk Whole Cow,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Panner,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Khoa,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Egg Poultry Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry White Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry Yolk Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry White Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry Yolk Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Poultry Omlet,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Country Hen Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Country Hen Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Country Hen Omlet,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Omlet,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Quial Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Quial Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Chicken Poultry Leg Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Thigh Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Breast Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Wing Skinless,Poultry Allergy,Gout,Halal
Poultry Chicken Liver,Poultry Allergy,Gout,Halal
Poultry Chicken Gizzard,Poultry Allergy,Gout,Halal
Country Hen Leg With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Thigh With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Breast With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Wing With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Duck Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Emu Meat Skinless,Poultry Allergy,No Potential Diseases Detected,Halal
Guinea Fowl Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Pigeon Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Quail Meat Skinless,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Leg With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Thigh With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Breast With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Wing With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Goat Shoulder,Animal Protein Allergy,Hypertension,Halal
Goat Chops,Animal Protein Allergy,Hypertension,Halal
Goat Legs,Animal Protein Allergy,Hypertension,Halal
Goat Brain,Animal Protein Allergy,Hypertension,Halal
Goat Tongue,Animal Protein Allergy,Hypertension,Halal
Goat Lungs,Animal Protein Allergy,Hypertension,Halal
Goat Heart,Animal Protein Allergy,Hypertension,Halal
Goat Liver,Animal Protein Allergy,Hypertension,Halal
Goat Tripe,Animal Protein Allergy,Hypertension,Halal
Goat Spleen,Animal Protein Allergy,Hypertension,Halal
Goat Kidneys,Animal Protein Allergy,Hypertension,Halal
Goat Tube,Animal Protein Allergy,Hypertension,Halal
Goat Testis,Animal Protein Allergy,Hypertension,Halal
Sheep Shoulder,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Chops,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Leg,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Brain,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Tongue,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Lungs,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Heart,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Liver,Animal Protein Allergy,No Potential Diseases Detected,Halal
